critic_id,name,youtube_channel
37,Foot Doctor Zach,https://www.youtube.com/channel/UCSOQGnOJqKOlIeQoXOSFyjw
29,MARKCHES,https://www.youtube.com/channel/UC0t0IqxfP_idFzKGEkgEixg
44,TommyLiu,https://www.youtube.com/channel/UCSZWLqReT1tt0qHCX6vMsZA
46,Jeremy Jones,https://www.youtube.com/@JeremyJonesNeverFold
24,RicheeKim,https://www.youtube.com/channel/UC_P_HdWJvF03Q9_yCYpeZ2Q
36,Snkr Tech Talk,https://www.youtube.com/channel/UCRZe0TnLQ662pe-a-3czJvg
48,DG Hoops,https://www.youtube.com/@DGHoops/videos
47,Lukas Simoner,https://www.youtube.com/@ls_hoops/videos
43,The Sole Drop,https://www.youtube.com/channel/UCju1EmUNJKT24Ufp8TAi2Dw
32,ShadeSnSoleS [Youtube],https://www.youtube.com/channel/UCTclZfJdLpuw6zzpGhpN33Q
45,KicksContestWorld,https://www.youtube.com/channel/UCpQdWuk5Sr8bZrzSkw7sGtg
39,Evan Miranda [weartesters.com],https://weartesters.com/author/evan/
7,Nelson Chan @Hoop and Life,https://www.youtube.com/channel/UCncnlRN31ckfiS10EsPHPfg
1,NightWing2303 [weartesters.com],https://weartesters.com/author/admin/
19,PureKicks,https://www.youtube.com/channel/UCZK9kzLWyKs7Py1j-7yb4mQ
2,Stanley T. [weartesters.com],https://weartesters.com/author/nyjumpman23/
41,Allen Sison [weartesters.com],https://weartesters.com/author/allen104396/
42,Jackson Bayer [weartesters.com],https://weartesters.com/author/kingjackson/
33,Soled Out Reviews,https://www.youtube.com/channel/UCMahw55qSA5dH8qnzNBaJmA
11,Duke4005 [weartesters.com],https://weartesters.com/author/brhinkle/
25,JAHRONMON [Youtube],https://www.youtube.com/channel/UCv-1s-XXGHaCstsvn0-VLHw
6,The Sole Brothers,https://www.youtube.com/channel/UCBV3x4ANi_UuF3LyuFPa_Pg
40,RunStretchTech,https://www.youtube.com/channel/UCXELjes5fLLMKwnG0dd5ghA
34,LZ Hoops,https://www.youtube.com/channel/UCsPseldPJ8I-zKvmZMiLH4w
30,Gavriel Rupert Dela Cruz [weartesters.com],https://weartesters.com/author/gavriel/
27,Jalique Gabay [weartesters.com],https://weartesters.com/author/lookatleak/
38,SnB PH,https://www.youtube.com/channel/UCqG2f4LZU696Q8cJILSVjBw
35,Shoeware,https://www.youtube.com/channel/UCp6L72gvMNQmczlrb6cd21Q
9,KickGenius,https://www.youtube.com/channel/UCrOgQZYG0olMJaMlNQPjLYw
18,AnotherPair [Youtube],https://www.youtube.com/channel/UCLkh8oi0KAnClK7IfZmET8A
3,Schwollo,https://www.schwollo.com
15,Another Pair [weartesters.com],https://weartesters.com/author/anotherpair/
4,Zac Dubasik [SoleCollector.com],https://solecollector.com/author/zac-dubasik
10,MR FOAMER SIMPSON,https://www.youtube.com/channel/UC4gPKdabQVW2YyhCtO7JErw
20,Analykix.com,http://www.analykix.com/search/label/review
5,Jarron Ramos [weartesters.com],https://weartesters.com/author/jahronmon/
23,QuickKicks [weartesters.com],https://weartesters.com/author/quick-kicks/
